Obs,Hubids,Eircode,Month,TwoHrSlot,%gas,heat_mean,heat_stddev,h_pr0-1,h_pr1-10,h_pr10-20,h_pr20-30,h_pr30-40,h_pr40-50,h_pr50-60,h_pr60-70,h_pr70-80,h_pr80-90,h_pr90-99,h_pr99-100,boiler_mean,boiler_stddev,b_pr0-1,b_pr1-10,b_pr10-20,b_pr20-30,b_pr30-40,b_pr40-50,b_pr50-60,b_pr60-70,b_pr70-80,b_pr80-90,b_pr90-99,b_pr99-100
2902,29,A83,9,16,0.745692626,12.03649204,29.4907466,0.822536182,0.012060648,0.011716058,0.009993108,0.012060648,0.014472777,0.011371468,0.009993108,0.009648518,0.009303928,0.009648518,0.067195038,8.120399741,22.22515833,0.849069607,0.012405238,0.012749828,0.013439008,0.013783598,0.017229497,0.012060648,0.013094418,0.012060648,0.034803584,0.00241213,0.006891799
2899,29,A83,9,18,0.745774405,15.89034148,32.37242074,0.763711625,0.010693343,0.015867541,0.014487754,0.013107968,0.021731632,0.020351845,0.019661952,0.016212487,0.014487754,0.015177647,0.074508451,11.2697827,24.86950332,0.789582615,0.011383236,0.018972059,0.016212487,0.021386685,0.028630562,0.020696792,0.024146257,0.01793722,0.045532942,0.002414626,0.003104519
2896,29,A83,9,20,0.744129834,10.92517264,28.59675461,0.84910221,0.005870166,0.005179558,0.009323204,0.01070442,0.015538674,0.007251381,0.007596685,0.008977901,0.007596685,0.007596685,0.065262431,6.732009698,20.27107467,0.875345304,0.008977901,0.008632597,0.013466851,0.012085635,0.01519337,0.007941989,0.009668508,0.011740331,0.033494475,0.001726519,0.001726519
2883,29,A83,9,22,0.742629206,6.521678803,24.00936099,0.925424905,0.000693722,0.002428026,0.002081165,0.002081165,0.003121748,0.002428026,0.000693722,0.001734305,0.002081165,0.000693722,0.056538328,3.169476259,15.2101089,0.952133195,0.001040583,0.004162331,0.002428026,0.002081165,0.00381547,0.000693722,0.002774887,0.003468609,0.02670829,0,0.000693722
2257,26,A83,10,0,0.744793974,1.914089493,12.97423884,0.974745237,0.00221533,0.000886132,0,0.00221533,0.000886132,0.000886132,0.001772264,0.001329198,0.000886132,0,0.014178113,0.902702704,7.90104733,0.982720425,0.00221533,0.001772264,0,0.002658396,0.001329198,0.00221533,0.001329198,0.001329198,0.002658396,0,0.001772264
2244,26,A83,10,2,0.743761141,1.799376113,12.06651204,0.971033868,0.001336898,0.000891266,0.008912656,0.000891266,0.000891266,0.001336898,0.001782531,0,0.000445633,0,0.012477718,0.823039224,6.958699254,0.979055258,0.001336898,0.002673797,0.00802139,0.000891266,0.002228164,0.000445633,0.001782531,0,0.001782531,0,0.001782531
2247,26,A83,10,4,0.744103249,8.052781545,22.5901035,0.858032933,0.002670227,0.004895416,0.038718291,0.002670227,0.008900757,0.021361816,0.002670227,0.032042724,0.001780151,0.001780151,0.024477081,6.363818441,18.60616177,0.865153538,0.003560303,0.019581664,0.02670227,0.005785492,0.017356475,0.010680908,0.009345794,0.034712951,0.003560303,0.000890076,0.002670227
2258,26,A83,10,6,0.744906997,13.18472098,28.04945818,0.769264836,0.012400354,0.009300266,0.046058459,0.011514615,0.023029229,0.017714792,0.023914969,0.027457927,0.011957484,0.006643047,0.040744021,11.04964569,24.12898802,0.773693534,0.017271922,0.018600531,0.038086802,0.015500443,0.036315323,0.017714792,0.023914969,0.026129318,0.016829052,0.001328609,0.014614703
2262,26,A83,10,8,0.746242263,10.6847038,26.19276962,0.816534041,0.016357206,0.010167993,0.016357206,0.012820513,0.024756852,0.017241379,0.014146773,0.015473033,0.011052166,0.012378426,0.032714412,8.917152937,22.17278705,0.820512821,0.017683466,0.011052166,0.021220159,0.017683466,0.028293546,0.017241379,0.016799293,0.016357206,0.024314766,0.003536693,0.00530504
2270,26,A83,10,10,0.745374449,9.175506594,24.87888117,0.847136564,0.011894273,0.009251101,0.013656388,0.012334802,0.016740088,0.01277533,0.011894273,0.013656388,0.007488987,0.012334802,0.030837004,7.272819354,20.41893738,0.855947137,0.013215859,0.010572687,0.014096916,0.015859031,0.01938326,0.013215859,0.016740088,0.013656388,0.022907489,0.002202643,0.002202643
2278,26,A83,10,12,0.744073749,9.513608439,25.67217402,0.84547849,0.013608428,0.011852502,0.010535558,0.007901668,0.012730465,0.015803336,0.012291484,0.010096576,0.010096576,0.016242318,0.033362599,7.23683056,20.50321568,0.855575066,0.014486392,0.014486392,0.012730465,0.010096576,0.019315189,0.015364355,0.016681299,0.01404741,0.01975417,0.003072871,0.004389816
2277,27,A83,10,14,0.74571805,13.69780415,29.50158254,0.775142732,0.015810277,0.014053579,0.019323671,0.016688625,0.026350461,0.018006148,0.0171278,0.019323671,0.014492754,0.013614405,0.050065876,10.63618799,23.75302911,0.787000439,0.018884497,0.017566974,0.021958718,0.018006148,0.035133948,0.015810277,0.024593764,0.029424682,0.025472112,0.00307422,0.00307422
2276,26,A83,10,16,0.74516696,25.14420035,36.64168716,0.601054482,0.027680141,0.025922671,0.022407733,0.026801406,0.040421793,0.035588752,0.038224956,0.033391916,0.027240773,0.028558875,0.092706503,20.67267137,31.17700764,0.612478032,0.029876977,0.02943761,0.035588752,0.032952548,0.04745167,0.048769772,0.039982425,0.033831283,0.058435852,0.009226714,0.021968366
2275,26,A83,10,18,0.745934066,29.61599999,38.53106675,0.54989011,0.023736264,0.019340659,0.029010989,0.025054945,0.058021978,0.038241758,0.04043956,0.037802198,0.023296703,0.02989011,0.125274725,23.27446159,32.09039345,0.567472527,0.033846154,0.03032967,0.034285714,0.042197802,0.064175824,0.031208791,0.042637363,0.050549451,0.076923077,0.009230769,0.017142857
2276,26,A83,10,20,0.746924429,16.58330403,32.12062597,0.735061511,0.021968366,0.014059754,0.01801406,0.018892794,0.025922671,0.024604569,0.022407733,0.017574692,0.018892794,0.016256591,0.066344464,12.69253076,25.74153437,0.746924429,0.024165202,0.0228471,0.022407733,0.027680141,0.032952548,0.023725835,0.025922671,0.019771529,0.044376098,0.003954306,0.005272408
2275,26,A83,10,22,0.746813187,5.217978013,19.25188831,0.910769231,0.005714286,0.008351648,0.008791209,0.008351648,0.010549451,0.004835165,0.005714286,0.005274725,0.007472527,0.006593407,0.017582418,3.658461545,14.70932083,0.91956044,0.007472527,0.012307692,0.00967033,0.009230769,0.01010989,0.004835165,0.004835165,0.007912088,0.00967033,0.000879121,0.003516484
2265,26,A83,11,0,0.736865342,3.223002199,16.02790286,0.949668874,0.003090508,0.004856512,0.00397351,0.00397351,0.005298013,0.001324503,0.002207506,0.002649007,0.002649007,0.002649007,0.017660044,2.373421645,12.62424688,0.95187638,0.006181015,0.006622517,0.004856512,0.003090508,0.004856512,0.002649007,0.003532009,0.003090508,0.008830022,0.000441501,0.00397351
2259,26,A83,11,2,0.737051793,1.37020805,10.7917739,0.979637008,0.000885347,0.002656042,0.001770695,0.000885347,0.001770695,0.000885347,0.000442674,0.000885347,0,0.000442674,0.009738822,1.072465693,9.030349569,0.980522355,0.001770695,0.002656042,0.001770695,0.003098716,0.000442674,0.000885347,0.000442674,0.001770695,0.001770695,0,0.004869411
2261,26,A83,11,4,0.737284387,6.57284392,20.38469999,0.883679788,0.002653693,0.001326847,0.031844317,0.00398054,0.00619195,0.022114109,0.002211411,0.023883238,0.002653693,0.002211411,0.017249005,5.677620556,17.85415391,0.884564352,0.003095975,0.008845644,0.024767802,0.00619195,0.018575851,0.011499337,0.002653693,0.031844317,0.003095975,0.001326847,0.003538257
2264,26,A83,11,6,0.737632509,11.58617488,25.29012993,0.774293286,0.009717314,0.012809187,0.053886926,0.014575972,0.032685512,0.023409894,0.011925795,0.025618375,0.007067138,0.007067138,0.026943463,10.30097171,22.7771677,0.774293286,0.012367491,0.019434629,0.050795053,0.026060071,0.030477032,0.022084806,0.020759717,0.014575972,0.011484099,0.002650177,0.015017668
2263,26,A83,11,8,0.737516571,13.81241713,28.5664143,0.762704375,0.014582413,0.011931065,0.024745913,0.017675652,0.039328325,0.016349978,0.022978347,0.024745913,0.015024304,0.010605391,0.039328325,12.63181617,26.39763599,0.762704375,0.017675652,0.015908087,0.022978347,0.021210782,0.045072912,0.018559434,0.02386213,0.026513478,0.015908087,0.00353513,0.026071586
2262,26,A83,11,10,0.738284704,11.2769673,26.70661987,0.811671088,0.011052166,0.013704686,0.01061008,0.017241379,0.024756852,0.018125553,0.014588859,0.019451813,0.014146773,0.016799293,0.027851459,10.08041558,23.98475071,0.811671088,0.011494253,0.015030946,0.016357206,0.019451813,0.030946065,0.01193634,0.020778073,0.022104332,0.023872679,0.005747126,0.01061008
2264,26,A83,11,12,0.737190813,10.2126325,25.35504979,0.818462898,0.014575972,0.015017668,0.014134276,0.018992933,0.018992933,0.016342756,0.016784452,0.01369258,0.01369258,0.015459364,0.02385159,9.01576856,22.52906474,0.819787986,0.015017668,0.016784452,0.019434629,0.019434629,0.025618375,0.013250883,0.019434629,0.016342756,0.022968198,0.006625442,0.005300353
